Date,Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values
1980-10-01,380,,,0.0,,,,,,,,,,
1980-10-02,380,,,0.0,,,,,,,,,,
1980-10-03,380,,,0.0,,,,,,,,,,
1980-10-04,380,,,0.0,,,,,,,,,,
1980-10-05,380,,,0.0,,,,,,,,,,
1980-10-06,380,,,0.0,,,,,,,,,,
1980-10-07,380,,,0.0,,,,,,,,,,
1980-10-08,380,,,0.0,,,,,,,,,,
1980-10-09,380,,,0.0,,,,,,,,,,
1980-10-10,380,,,0.0,,,,,,,,,,
1980-10-11,380,,,0.0,,,,,,,,,,
1980-10-12,380,,,0.0,,,,,,,,,,
1980-10-13,380,,,0.0,,,,,,,,,,
1980-10-14,380,,,0.3,,,,,,,,,,
1980-10-15,380,,,0.2,,,,,,,,,,
1980-10-16,380,,,0.6,,,,,,,,,,
1980-10-17,380,,,0.1,,,,,,,,,,
1980-10-18,380,,,0.0,,,,,,,,,,
1980-10-19,380,,,0.0,,,,,,,,,,
1980-10-20,380,,,0.0,,,,,,,,,,
1980-10-21,380,,,0.0,,,,,,,,,,
1980-10-22,380,,,0.0,,,,,,,,,,
1980-10-23,380,,,0.0,,,,,,,,,,
1980-10-24,380,,,0.0,,,,,,,,,,
1980-10-25,380,,,0.1,,,,,,,,,,
1980-10-26,380,,,0.0,,,,,,,,,,
1980-10-27,380,,,0.0,,,,,,,,,,
1980-10-28,380,,,0.0,,,,,,,,,,
1980-10-29,380,,,0.1,,,,,,,,,,
1980-10-30,380,,,0.0,,,,,,,,,,
1980-10-31,380,,,0.1,,,,,,,,,,
1980-11-01,380,,,0.0,,,,,,,,,,
1980-11-02,380,,,0.0,,,,,,,,,,
1980-11-03,380,,,0.0,,,,,,,,,,
1980-11-04,380,,,0.1,,,,,,,,,,
1980-11-05,380,,,0.0,,,,,,,,,,
1980-11-06,380,,,0.0,,,,,,,,,,
1980-11-07,380,,,0.0,,,,,,,,,,
1980-11-08,380,,,0.0,,,,,,,,,,
1980-11-09,380,,,0.0,,,,,,,,,,
1980-11-10,380,,,0.0,,,,,,,,,,
1980-11-11,380,,,0.0,,,,,,,,,,
1980-11-12,380,,,0.4,,,,,,,,,,
1980-11-13,380,,,0.0,,,,,,,,,,
1980-11-14,380,,,0.0,,,,,,,,,,
1980-11-15,380,,,0.0,,,,,,,,,,
1980-11-16,380,,,0.0,,,,,,,,,,
1980-11-17,380,,,0.0,,,,,,,,,,
1980-11-18,380,,,0.0,,,,,,,,,,
1980-11-19,380,,,0.0,,,,,,,,,,
1980-11-20,380,,,0.0,,,,,,,,,,
1980-11-21,380,,,0.1,,,,,,,,,,
